Batch No,Complexity,Batch Owner,Location,Batch Status,QC Status,Auditor Status,Remarks
444,3-7/10 digit part numbers,Shyam,Reach-in,Hold,Hold,,
465,2-Rev/Description Update,Shyam,Reach-in,Yet to Start,InProgress,,
222,2-Rev/Description Update,Shyam,Insight,Completed,Completed,,Jothi bash
227,2-Rev/Description Update,Shyam,Insight,Completed,Completed,,Jothi bash
232,2-Rev/Description Update,Shyam,Insight,Completed,Completed,,                                Jothi bash add  2 batch
340,5-instructions/dimensional application dwg,Shyam,Insight,Completed,,,doubt pdf
345,5-instructions/dimensional application dwg,Shyam,Insight,Completed,,,godwin working
38,10-Purchased Parts,Shyam,Wide Island,Completed,Completed,Completed,
48,10-Purchased Parts,Shyam,Wide Island,Completed,Completed,Completed,
382,10-Purchased Parts,Shyam,Wide Island,Completed,Completed,Completed,
406,3-7/10 digit part numbers,Shyam,Wide Island,Hold,,,
410,3-7/10 digit part numbers,Shyam,Wide Island,Hold,,,
452,5-instructions/dimensional application dwg,Shyam,Wide Island,Hold,,,
105,1-Rev/Description,Vishnu,Reach-in,Completed,,,
240,10-Purchased Parts,Vishnu,Reach-in,Hold,,,
250,10-Purchased Parts,Vishnu,Reach-in,Completed,,,
270,3-7/10 digit part numbers,Vishnu,Reach-in,Hold,,,"Due to the absence of CAD files, all the files will be moved to the complexity folder."
427,3-7/10 digit part numbers,Vishnu,Reach-in,Hold,,,
443,3-7/10 digit part numbers,Vishnu,Reach-in,Hold,,,
464,1-Rev/Description,Vishnu,Reach-in,InProgress,,,
196,1-Rev/Description,Vishnu,Insight,Completed,Completed,,
201,1-Rev/Description,Vishnu,Insight,Completed,Completed,,
221,2-Rev/Description Update,Vishnu,Insight,Completed,Completed,Completed,add  insight batch 4 Audit has been completed 
226,2-Rev/Description Update,Vishnu,Insight,Completed,Completed,,
21,1-Rev/Description,Vishnu,Wide Island,InProgress,,,
22,1-Rev/Description,Vishnu,Wide Island,Hold,Completed,Completed,
27,2-Rev/Description Update,Vishnu,Wide Island,Hold,Completed,Completed,
37,10-Purchased Parts,Vishnu,Wide Island,Completed,Completed,,
47,10-Purchased Parts,Vishnu,Wide Island,Completed,,,Shyam batch
48,10-Purchased Parts,Vishnu,Wide Island,Completed,,,Shyam batch
56,11-Purchased Assemblies,Vishnu,Wide Island,InProgress,,,
63,3-7/10 digit part numbers,Vishnu,Wide Island,InProgress,,,aadthithya
381,10-Purchased Parts,Vishnu,Wide Island,Completed,,,
384,10-Purchased Parts,Vishnu,Wide Island,Completed,Completed,Completed,Bash batch
405,3-7/10 digit part numbers,Vishnu,Wide Island,Hold,,,
420,3-7/10 digit part numbers,Vishnu,Wide Island,Hold,,,
453,5-instructions/dimensional application dwg,Vishnu,Wide Island,InProgress,,,
307,10-Purchased Parts,Bash,Insight,Completed,,,
317,10-Purchased Parts,Bash,Insight,Completed,,,
467,3-7/10 digit part numbers,Bash,Insight,InProgress,,,
480,3-7/10 digit part numbers,Bash,Reach-in,Hold,,,
338,3-7/10 digit part numbers,Bash,Insight,Hold,,,
308,10-Purchased Parts,Aafrin,,Completed,,,
328,10-Purchased Parts,Aafrin,,Completed,,,
318,10-Purchased Parts,Aafrin,,Completed,,,
206,10-Purchased Parts,Aafrin,,Completed,,,
211,10-Purchased Parts,Naresh,,Completed,Completed,,
152,10-Purchased Parts,Naresh,,Completed,,,
466,10-Purchased Parts,Naresh,,InProgress,,,
477,3-7/10 digit part numbers,Vishnu,Insight,InProgress,,,
324,10-Purchased Parts,Vishnu,Wide Island,Completed,Completed,Completed,
226,10-Purchased Parts,Vishnu,,Completed,Completed,Completed,
231,10-Purchased Parts,Vishnu,,Completed,Completed,Completed,
37,10-Purchased Parts,Vishnu,,Completed,,,
201,10-Purchased Parts,Vishnu,,Completed,,,
196,10-Purchased Parts,Vishnu,,Completed,,,
324,10-Purchased Parts,Vishnu,,Completed,,,
431,3-7/10 digit part numbers,Aafrin,,Hold,,,
445,3-7/10 digit part numbers,Aafrin,,InProgress,,,
481,3-7/10 digit part numbers,Aafrin,,InProgress,,,
482,3-7/10 digit part numbers,Aafrin,,Hold,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
